3,엠마누엘,NNP,4
4,웅가로,NNP,3
14,의상,NNG,2
76,실내,NNG,2
7,장식품,NNG,3
134,디자인,NNG,3
1766,세계,NNG,2
200,프랑스,NNP,3
41,디자이너,NNG,4
105,장식,NNG,2
12,직물,NNG,2
5,침실,NNG,2
85,식당,NNG,2
8,욕실,NNG,2
909,사용,NNG,2
51,갖가지,NNG,3
336,제품,NNG,2
865,최근,NNG,2
28,파리,NNP,2
6,갤러리,NNG,3
1,라파예트,NNP,4
141,백화점,NNG,3
145,색,NNG,1
6,컬렉션,NNG,3
612,이름,NNG,2
61,전시회,NNG,3
44,목욕,NNG,2
13,가운,NNG,2
1,탁자보,NNG,3
4,냅킨,NNG,2
4,앞치마,NNG,3
853,작품,NNG,2
97,조화,NNG,2
16,남미,NNP,2
14,원색,NNG,2
10,수채화,NNG,3
7,안온,NNG,2
1,배색,NNG,2
355,분위기,NNG,3
530,강조,NNG,2
23,기하학,NNG,3
57,무늬,NNG,2
9,꽃무늬,NNG,3
81,주류,NNG,2
4793,때,NNG,1
269,옷,NNG,1
5,해방감,NNG,3
7201,말,NNG,1
1951,집,NNG,1
118,창작,NNG,2
46,원천,NNG,2
382,공간,NNG,2
50,미학,NNG,2
1060,중요,NNG,2
1544,시간,NNG,2
448,반,NNG,1
1463,이상,NNG,2
34,체조,NNG,2
117,텔레비전,NNG,4
67,시청,NNG,2
127,식사,NNG,2
855,주장,NNG,2
1306,정도,NNG,2
49,천,NNG,1
66,용품,NNG,2
94,상상력,NNG,3
182,놀이,NNG,2
4,찻잔,NNG,2
29,접시,NNG,2
11,식기,NNG,2
819,활동,NNG,2
176,폭,NNG,1
834,계획,NNG,2
226,여름,NNG,2
16,주방,NNG,2
931,생활,NNG,2
4,빙수,NNG,2
3,샤베트기,NNG,4
45,안방,NNG,2
29,더위,NNG,2
40,얼음,NNG,2
480,대신,NNG,2
11,아이스,NNG,3
105,팩,NNG,1
203,인기,NNG,2
93,국산,NNG,2
465,다양,NNG,2
36,성능,NNG,2
30,외제,NNG,2
10,손색,NNG,2
3,빙수기,NNG,3
12,물통,NNG,2
35,여름철,NNG,3
